week_start,VillageID,pred_cases
2024-01-08,6702600-009,0
2024-01-01,6702600-010,0
2024-01-08,6702600-010,0
2024-01-01,6702700-001,14
2024-01-08,6702700-001,0
2024-01-01,6702700-002,0
2024-01-08,6702700-002,0
2024-01-01,6702700-003,14
2024-01-08,6702700-003,0
2024-01-01,6702700-004,40
2024-01-08,6702700-004,0
2024-01-01,6702700-005,40
2024-01-08,6702700-005,40
2024-01-01,6702700-006,14
2024-01-08,6702700-006,0
2024-01-01,6702700-007,0
2024-01-08,6702700-007,0
2024-01-01,6702700-008,14
2024-01-08,6702700-008,0
2024-01-01,6702700-009,0
2024-01-08,6702700-009,0
2024-01-01,6702700-010,0
2024-01-08,6702700-010,0
2024-01-01,6702700-011,14
2024-01-08,6702700-011,0
2024-01-01,6702700-012,14
2024-01-08,6702700-012,0
2024-01-01,6702700-013,40
2024-01-08,6702700-013,0
2024-01-01,6702700-014,0
2024-01-08,6702700-014,0
2024-01-01,6702700-015,40
2024-01-08,6702700-015,0
2024-01-01,6702700-016,14
2024-01-08,6702700-016,0
2024-01-01,6702700-017,0
2024-01-08,6702700-017,0
2024-01-01,6702700-018,0
2024-01-08,6702700-018,0
2024-01-01,6702800-001,0
2024-01-08,6702800-001,0
2024-01-01,6702800-002,0
2024-01-08,6702800-002,0
2024-01-01,6702800-003,0
2024-01-08,6702800-003,0
2024-01-01,6702800-004,0
2024-01-08,6702800-004,0
2024-01-01,6702800-005,0
2024-01-08,6702800-005,0
2024-01-01,6702800-006,0
2024-01-08,6702800-006,0
2024-01-01,6702800-007,0
2024-01-08,6702800-007,0
2024-01-01,6702800-008,0
2024-01-08,6702800-008,0
2024-01-01,6702800-009,0
2024-01-08,6702800-009,0
2024-01-01,6702800-010,0
2024-01-08,6702800-010,0
2024-01-01,6702800-011,0
2024-01-08,6702800-011,0
2024-01-01,6702800-012,0
2024-01-08,6702800-012,0
2024-01-01,6702800-013,0
2024-01-08,6702800-013,0
2024-01-01,6702800-014,0
2024-01-08,6702800-014,0
2024-01-01,6702800-015,0
2024-01-08,6702800-015,0
2024-01-01,6702800-016,0
2024-01-08,6702800-016,0
2024-01-01,6702800-017,0
2024-01-08,6702800-017,0
2024-01-01,6702800-018,0
2024-01-08,6702800-018,0
2024-01-01,6702800-019,0
2024-01-08,6702800-019,0
2024-01-01,6702800-020,0
2024-01-08,6702800-020,0
2024-01-01,6702800-021,0
2024-01-08,6702800-021,0
2024-01-01,6702900-001,0
2024-01-08,6702900-001,0
2024-01-01,6702900-002,0
2024-01-08,6702900-002,0
2024-01-01,6702900-003,0
2024-01-08,6702900-003,0
2024-01-01,6702900-004,0
2024-01-08,6702900-004,0
2024-01-01,6702900-005,0
2024-01-08,6702900-005,0
2024-01-01,6702900-006,0
2024-01-08,6702900-006,0
2024-01-01,6702900-007,0
2024-01-08,6702900-007,0
2024-01-01,6702900-008,0
