from,to,distance
6703400-006,6703400-008,0.6740474700927734
6700200-020,6700200-021,2.7448434829711914
6701900-002,6701900-006,2.238312005996704
6700500-020,6700500-019,2.397561550140381
6702800-019,6702800-009,0.593036413192749
6701200-014,6701600-002,2.458343744277954
6702300-003,6702300-004,2.175980567932129
6703500-018,6703500-022,2.061957597732544
6700500-016,6700500-021,2.9828433990478516
6703200-015,6703200-039,0.6327590942382812
6700800-010,6700800-006,1.2863318920135498
6701000-002,6700900-004,2.2818636894226074
6701200-020,6701200-007,2.383967399597168
6702800-011,6702800-010,3.0625789165496826
6702800-014,6702800-015,1.8653059005737305
6703500-030,6703500-032,2.617588520050049
6703300-024,6703300-001,0.44607487320899963
6700500-009,6700500-018,2.992931604385376
6702800-004,6702800-007,1.408708095550537
6703300-026,6703300-010,0.9466940760612488
6701600-007,6701300-002,1.7513737678527832
6702900-005,6702900-004,0.7394219636917114
6703700-029,6703700-031,0.4216104745864868
6701200-015,6701200-013,1.6332123279571533
6703400-036,6703700-020,0.565852165222168
6703500-044,6703500-051,0.7602325677871704
6703700-022,6703700-028,0.39225947856903076
6700900-002,6700900-007,2.7303080558776855
6703400-001,6703400-027,0.589874267578125
6700100-016,6700100-007,1.955314040184021
6700500-011,6700100-010,2.2913856506347656
6701300-008,6701300-011,1.8245527744293213
6702300-005,6702500-009,12.074989318847656
6701600-004,6701600-006,1.305112361907959
6701700-005,6701700-001,2.4233286380767822
6700300-024,6700300-013,2.763129949569702
6701200-003,6701200-016,2.578092098236084
6701300-001,6701300-008,2.7835373878479004
6700100-011,6700100-013,0.5118789672851562
6700800-005,6700900-010,2.726404905319214
6700300-001,6700300-002,0.7481757402420044
6703500-006,6703500-038,1.0483644008636475
6702400-006,6702400-003,8.066936492919922
6703300-019,6703300-020,1.0958462953567505
6702700-004,6703200-003,1.3935847282409668
6700700-008,6700700-001,0.5462238788604736
6701700-009,6701700-012,3.287278890609741
6702100-007,6702100-003,2.5339808464050293
6703400-042,6703400-041,1.0338505506515503
6701200-010,6701300-011,1.6230360269546509
6703600-011,6703600-003,1.3674565553665161
6701000-008,6700900-010,2.3574161529541016
6701800-019,6702600-003,4.849201202392578
6703600-013,6703700-034,1.1375190019607544
6703200-031,6703200-009,0.6410869359970093
6703100-009,6703100-038,3.0243606567382812
6700400-003,6700400-007,2.383425712585449
6700600-010,6700600-011,2.151043176651001
6702500-003,6702500-007,5.219056129455566
6702700-003,6702700-001,1.5116807222366333
6701300-003,6701700-001,4.588037014007568
6703600-006,6703600-009,0.9636381268501282
6700900-012,6700900-011,5.068545341491699
6700500-005,6700300-016,1.5598158836364746
6703500-048,6703500-011,1.7072495222091675
6703300-023,6703200-012,1.8484832048416138
6702600-006,6702600-008,2.4846980571746826
6702400-006,6702500-009,8.782547950744629
6703700-003,6703700-004,0.4929451644420624
6700900-005,6700900-008,3.1522061824798584
6700100-029,6700100-016,1.3229774236679077
6701100-002,6701100-001,1.3945796489715576
6703000-006,6703000-008,3.558279275894165
