from,to,distance
6701100-008,6701000-005,3.898447036743164
6701700-002,6701700-013,4.242228984832764
6701800-008,6701800-013,1.4677156209945679
6702000-008,6702000-010,2.622262954711914
6703700-011,6703200-005,0.5905882120132446
6700100-015,6700100-028,0.883946418762207
6703500-008,6703500-007,1.1734232902526855
6700500-003,6700500-001,1.2603412866592407
6702100-015,6702100-016,0.8553544282913208
6701200-019,6701400-007,2.3365955352783203
6703200-005,6703200-024,0.6405478715896606
6703000-008,6703000-001,2.8917813301086426
6703500-001,6703500-004,1.5386556386947632
6701200-012,6701200-001,2.358330488204956
6700700-003,6700700-004,0.48374059796333313
6700400-006,6700100-020,1.756062388420105
6702700-012,6702700-010,2.1896092891693115
6703600-012,6703600-013,1.3504414558410645
6700700-002,6700700-008,0.9356837272644043
6703300-038,6703300-020,1.0343133211135864
6701200-014,6701500-001,1.1889961957931519
6700700-005,6700700-013,1.41085684299469
6700700-024,6700700-026,1.2160753011703491
6701000-009,6701000-008,3.2658252716064453
6703300-015,6703300-036,1.6562579870224
6703500-038,6703500-007,0.8959603309631348
6702100-004,6702100-015,1.7579786777496338
6701500-022,6701500-008,2.389712333679199
6703100-014,6703100-012,1.1193286180496216
6703600-008,6703600-015,0.9529860615730286
6703100-023,6703100-017,1.0887556076049805
6702900-012,6703000-004,3.1536011695861816
6703100-007,6703100-009,1.7617371082305908
6703100-026,6703100-022,0.898063063621521
6701500-014,6701500-009,2.7936861515045166
6701800-014,6703100-017,2.1535756587982178
6703700-007,6703700-019,0.5254808068275452
6701200-012,6701200-014,1.5651801824569702
6701500-007,6701500-006,2.8327462673187256
6703100-018,6703100-023,1.1363075971603394
6701500-010,6701500-011,1.4256622791290283
6700200-013,6700200-007,2.792773723602295
6702800-016,6701800-014,1.6808487176895142
6700200-008,6700200-013,2.7996561527252197
6703100-029,6703100-010,1.0457912683486938
6700300-002,6700300-001,0.7481757402420044
6700500-006,6700500-002,1.195220708847046
6703500-014,6703500-013,1.0951963663101196
6703500-033,6703500-026,1.7310056686401367
6700700-018,6701200-007,2.1768460273742676
6702400-007,6702400-002,4.355608940124512
