CityName,YY,MM,WGS84_Lon,WGS84_Lat,TempValue
臺南市,1960,4,120.35,23.30,23.1183
臺南市,1960,4,120.35,23.35,23.1144
臺南市,1960,4,120.35,23.40,23.1015
臺南市,1960,4,120.40,22.90,23.8417
臺南市,1960,4,120.40,22.95,23.5077
臺南市,1960,4,120.40,23.00,23.1117
臺南市,1960,4,120.40,23.05,23.2456
臺南市,1960,4,120.40,23.10,22.9378
臺南市,1960,4,120.40,23.15,22.9152
臺南市,1960,4,120.40,23.20,22.7936
臺南市,1960,4,120.40,23.25,22.7769
臺南市,1960,4,120.40,23.30,23.0096
臺南市,1960,4,120.40,23.35,23.0767
臺南市,1960,4,120.40,23.40,23.0881
臺南市,1960,4,120.45,22.95,23.495
臺南市,1960,4,120.45,23.00,23.1407
臺南市,1960,4,120.45,23.05,23.2051
臺南市,1960,4,120.45,23.10,22.9568
臺南市,1960,4,120.45,23.15,22.7041
臺南市,1960,4,120.45,23.20,22.4241
臺南市,1960,4,120.45,23.25,22.6765
臺南市,1960,4,120.45,23.30,22.7061
臺南市,1960,4,120.45,23.35,22.8922
臺南市,1960,4,120.45,23.40,22.964
臺南市,1960,4,120.50,23.00,22.6744
臺南市,1960,4,120.50,23.05,22.0199
臺南市,1960,4,120.50,23.10,22.5671
臺南市,1960,4,120.50,23.15,22.5883
臺南市,1960,4,120.50,23.20,22.4763
臺南市,1960,4,120.50,23.25,20.543
臺南市,1960,4,120.50,23.30,20.4147
臺南市,1960,4,120.50,23.35,21.5462
臺南市,1960,4,120.50,23.40,22.6369
臺南市,1960,4,120.55,23.05,21.9726
臺南市,1960,4,120.55,23.10,21.7438
臺南市,1960,4,120.55,23.15,20.4633
臺南市,1960,4,120.55,23.20,20.8631
臺南市,1960,4,120.55,23.25,21.5542
臺南市,1960,4,120.55,23.30,19.6435
臺南市,1960,4,120.55,23.35,19.2413
臺南市,1960,4,120.60,23.10,21.2345
臺南市,1960,4,120.60,23.15,20.8151
臺南市,1960,4,120.60,23.20,20.435
臺南市,1960,4,120.60,23.25,19.4819
臺南市,1960,4,120.65,23.15,19.1071
臺南市,1960,4,120.65,23.20,19.2429
臺南市,1960,4,120.65,23.25,19.161
臺南市,1960,5,120.05,23.05,26.6805
臺南市,1960,5,120.05,23.10,26.5716
臺南市,1960,5,120.05,23.15,26.3072
臺南市,1960,5,120.05,23.20,NAN
臺南市,1960,5,120.10,23.00,NAN
臺南市,1960,5,120.10,23.05,26.7099
臺南市,1960,5,120.10,23.10,26.3628
臺南市,1960,5,120.10,23.15,26.2751
臺南市,1960,5,120.10,23.20,26.2653
