﻿縣市別代碼,行政區域代碼,監測週期,陽性率,總卵粒數 
67000,67000350,112年第50週,15.52%,2148
67000,67000320,112年第50週,7.22%,728
67000,67000330,112年第50週,16.89%,1455
67000,67000010,112年第50週,19.44%,581
67000,67000280,112年第50週,8.33%,118
67000,67000370,112年第51週,12.08%,893
67000,67000270,112年第51週,17.19%,799
67000,67000340,112年第51週,6.82%,694
67000,67000310,112年第51週,11.24%,1770
67000,67000360,112年第51週,13.46%,661
67000,67000350,112年第51週,12.42%,2171
67000,67000320,112年第51週,7.22%,1074
67000,67000330,112年第51週,12.39%,1240
67000,67000010,112年第51週,11.11%,464
67000,67000280,112年第51週,1.19%,76
67000,67000370,112年第52週,7.50%,405
67000,67000270,112年第52週,6.77%,371
67000,67000340,112年第52週,1.52%,66
67000,67000310,112年第52週,5.23%,656
67000,67000360,112年第52週,4.49%,79
67000,67000350,112年第52週,5.39%,565
67000,67000320,112年第52週,1.85%,220
67000,67000330,112年第52週,4.28%,303
67000,67000010,112年第52週,6.94%,250
67000,67000280,112年第52週,1.19%,78
67000,67000370,112年第43週,32.50%,2323
67000,67000270,112年第43週,44.27%,3305
67000,67000340,112年第43週,30.56%,3066
67000,67000310,112年第43週,31.01%,4758
67000,67000360,112年第43週,42.95%,2361
67000,67000350,112年第43週,35.13%,7516
67000,67000320,112年第43週,18.33%,2632
67000,67000330,112年第43週,36.49%,5245
67000,67000010,112年第43週,22.22%,785
67000,67000280,112年第43週,32.14%,771
67000,67000370,112年第44週,27.50%,1844
67000,67000270,112年第44週,30.73%,2145
67000,67000340,112年第44週,22.22%,2032
67000,67000310,112年第44週,25.97%,4089
67000,67000360,112年第44週,29.49%,1411
67000,67000350,112年第44週,28.43%,5135
67000,67000320,112年第44週,18.70%,2351
67000,67000330,112年第44週,31.08%,4019
67000,67000010,112年第44週,26.39%,800
67000,67000280,112年第44週,27.38%,367
67000,67000370,112年第45週,24.58%,1663
67000,67000270,112年第45週,27.60%,1641
67000,67000340,112年第45週,19.44%,2019
67000,67000310,112年第45週,25.97%,3410
67000,67000360,112年第45週,24.36%,940
67000,67000350,112年第45週,24.35%,4433
67000,67000320,112年第45週,14.63%,2108
67000,67000330,112年第45週,24.55%,3287
67000,67000010,112年第45週,26.39%,937
67000,67000280,112年第45週,27.38%,333
67000,67000370,112年第46週,26.67%,1506
67000,67000270,112年第46週,24.48%,1072
67000,67000340,112年第46週,19.19%,1810
67000,67000310,112年第46週,20.93%,3005
67000,67000360,112年第46週,22.44%,893
67000,67000350,112年第46週,21.73%,3779
67000,67000320,112年第46週,10.74%,1336
67000,67000330,112年第46週,23.20%,2295
67000,67000010,112年第46週,26.39%,690
67000,67000280,112年第46週,19.05%,227
67000,67000370,112年第47週,19.17%,1257
67000,67000270,112年第47週,13.54%,425
67000,67000340,112年第47週,11.36%,800
67000,67000310,112年第47週,16.67%,2114
67000,67000360,112年第47週,15.38%,500
67000,67000350,112年第47週,19.44%,3128
67000,67000320,112年第47週,8.70%,1220
67000,67000330,112年第47週,18.24%,1490
67000,67000010,112年第47週,18.06%,537
67000,67000280,112年第47週,16.67%,198
