CityName,YY,MM,WGS84_Lon,WGS84_Lat,RainValue
臺南市,1960,3,120.50,23.25,2.08341
臺南市,1960,3,120.50,23.30,1.6765
臺南市,1960,3,120.50,23.35,1.7169
臺南市,1960,3,120.50,23.40,1.66555
臺南市,1960,3,120.55,23.05,2.04723
臺南市,1960,3,120.55,23.10,2.04277
臺南市,1960,3,120.55,23.15,1.91529
臺南市,1960,3,120.55,23.20,1.96126
臺南市,1960,3,120.55,23.25,2.04565
臺南市,1960,3,120.55,23.30,1.84102
臺南市,1960,3,120.55,23.35,1.6294
臺南市,1960,3,120.60,23.10,2.27735
臺南市,1960,3,120.60,23.15,2.08324
臺南市,1960,3,120.60,23.20,1.9541
臺南市,1960,3,120.60,23.25,1.92473
臺南市,1960,3,120.65,23.15,2.23314
臺南市,1960,3,120.65,23.20,1.92969
臺南市,1960,3,120.65,23.25,1.89683
臺南市,1960,4,120.05,23.05,1.01437
臺南市,1960,4,120.05,23.10,1.16202
臺南市,1960,4,120.05,23.15,1.29274
臺南市,1960,4,120.05,23.20,NAN
臺南市,1960,4,120.10,23.00,NAN
臺南市,1960,4,120.10,23.05,1.06416
臺南市,1960,4,120.10,23.10,1.17692
臺南市,1960,4,120.10,23.15,1.17038
臺南市,1960,4,120.10,23.20,1.52005
臺南市,1960,4,120.10,23.25,1.90698
臺南市,1960,4,120.10,23.30,2.48964
臺南市,1960,4,120.10,23.35,2.62923
臺南市,1960,4,120.15,22.90,0.569786
臺南市,1960,4,120.15,22.95,0.894773
臺南市,1960,4,120.15,23.00,1.16251
臺南市,1960,4,120.15,23.05,1.26136
臺南市,1960,4,120.15,23.10,1.47473
臺南市,1960,4,120.15,23.15,1.34553
臺南市,1960,4,120.15,23.20,1.57967
臺南市,1960,4,120.15,23.25,1.88463
臺南市,1960,4,120.15,23.30,2.62494
臺南市,1960,4,120.15,23.35,2.87562
臺南市,1960,4,120.20,22.90,0.700302
臺南市,1960,4,120.20,22.95,0.958165
臺南市,1960,4,120.20,23.00,1.17436
臺南市,1960,4,120.20,23.05,1.17684
臺南市,1960,4,120.20,23.10,1.45938
臺南市,1960,4,120.20,23.15,1.56967
臺南市,1960,4,120.20,23.20,1.54382
臺南市,1960,4,120.20,23.25,1.89217
臺南市,1960,4,120.20,23.30,2.61684
臺南市,1960,4,120.25,22.90,0.427689
臺南市,1960,4,120.25,22.95,0.631272
臺南市,1960,4,120.25,23.00,0.77575
臺南市,1960,4,120.25,23.05,1.1196
臺南市,1960,4,120.25,23.10,1.68352
臺南市,1960,4,120.25,23.15,1.58668
臺南市,1960,4,120.25,23.20,1.6213
臺南市,1960,4,120.25,23.25,1.72116
臺南市,1960,4,120.25,23.30,2.49049
臺南市,1960,4,120.25,23.35,3.12019
臺南市,1960,4,120.30,22.90,0.218692
臺南市,1960,4,120.30,22.95,0.352677
臺南市,1960,4,120.30,23.00,0.637236
臺南市,1960,4,120.30,23.05,1.1112
臺南市,1960,4,120.30,23.10,1.80638
臺南市,1960,4,120.30,23.15,2.07146
臺南市,1960,4,120.30,23.20,1.72682
臺南市,1960,4,120.30,23.25,1.66376
臺南市,1960,4,120.30,23.30,2.60348
臺南市,1960,4,120.30,23.35,3.09896
臺南市,1960,4,120.30,23.40,2.82279
臺南市,1960,4,120.35,22.90,0.250814
臺南市,1960,4,120.35,22.95,0.354816
臺南市,1960,4,120.35,23.00,0.765454
臺南市,1960,4,120.35,23.05,1.27413
臺南市,1960,4,120.35,23.10,2.08421
臺南市,1960,4,120.35,23.15,2.3418
臺南市,1960,4,120.35,23.20,2.00271
臺南市,1960,4,120.35,23.25,1.77533
臺南市,1960,4,120.35,23.30,2.42856
臺南市,1960,4,120.35,23.35,3.28448
臺南市,1960,4,120.35,23.40,3.18539
臺南市,1960,4,120.40,22.90,0.255923
臺南市,1960,4,120.40,22.95,0.279745
臺南市,1960,4,120.40,23.00,0.62938
臺南市,1960,4,120.40,23.05,1.2734
臺南市,1960,4,120.40,23.10,1.68238
臺南市,1960,4,120.40,23.15,2.12094
臺南市,1960,4,120.40,23.20,1.94493
臺南市,1960,4,120.40,23.25,2.13759
臺南市,1960,4,120.40,23.30,2.64476
臺南市,1960,4,120.40,23.35,2.86118
臺南市,1960,4,120.40,23.40,2.98974
臺南市,1960,4,120.45,22.95,0.354213
臺南市,1960,4,120.45,23.00,0.426889
臺南市,1960,4,120.45,23.05,0.640479
臺南市,1960,4,120.45,23.10,1.36424
臺南市,1960,4,120.45,23.15,2.35315
臺南市,1960,4,120.45,23.20,2.53502
臺南市,1960,4,120.45,23.25,2.69992
臺南市,1960,4,120.45,23.30,2.77438
臺南市,1960,4,120.45,23.35,2.84793
臺南市,1960,4,120.45,23.40,3.10738
臺南市,1960,4,120.50,23.00,0.76354
臺南市,1960,4,120.50,23.05,1.02096
臺南市,1960,4,120.50,23.10,1.8232
臺南市,1960,4,120.50,23.15,2.9167
臺南市,1960,4,120.50,23.20,3.00346
臺南市,1960,4,120.50,23.25,2.6676
臺南市,1960,4,120.50,23.30,2.54767
臺南市,1960,4,120.50,23.35,2.43104
臺南市,1960,4,120.50,23.40,2.67147
臺南市,1960,4,120.55,23.05,1.99658
臺南市,1960,4,120.55,23.10,2.6347
臺南市,1960,4,120.55,23.15,3.35879
臺南市,1960,4,120.55,23.20,2.81697
臺南市,1960,4,120.55,23.25,2.42382
臺南市,1960,4,120.55,23.30,2.26426
臺南市,1960,4,120.55,23.35,2.27619
臺南市,1960,4,120.60,23.10,3.33043
臺南市,1960,4,120.60,23.15,3.38249
臺南市,1960,4,120.60,23.20,2.58387
臺南市,1960,4,120.60,23.25,2.24655
臺南市,1960,4,120.65,23.15,3.58596
臺南市,1960,4,120.65,23.20,2.77782
臺南市,1960,4,120.65,23.25,2.35187
臺南市,1960,5,120.05,23.05,0.605993
臺南市,1960,5,120.05,23.10,0.637508
臺南市,1960,5,120.05,23.15,0.666813
臺南市,1960,5,120.05,23.20,NAN
臺南市,1960,5,120.10,23.00,NAN
臺南市,1960,5,120.10,23.05,0.532481
臺南市,1960,5,120.10,23.10,0.687869
臺南市,1960,5,120.10,23.15,0.751898
臺南市,1960,5,120.10,23.20,0.937779
臺南市,1960,5,120.10,23.25,1.08222
臺南市,1960,5,120.10,23.30,1.25207
臺南市,1960,5,120.10,23.35,1.50267
臺南市,1960,5,120.15,22.90,0.653109
