里編號,區里,經度,緯度
604,歸仁區大潭里,120.294232,22.908223
605,歸仁區六甲里,120.284791,22.946307
606,歸仁區文化里,120.291914,22.971605
607,歸仁區西埔里,120.288062,23.005018
608,歸仁區沙崙里,120.307844,22.934218
609,歸仁區武東里,120.277555,22.926362
610,歸仁區南保里,120.284618,22.96806
611,歸仁區南興里,120.277523,22.969048
612,歸仁區後市里,120.291368,22.967873
613,歸仁區看西里,120.301338,22.959537
614,歸仁區看東里,120.311327,22.955066
615,歸仁區崙頂里,120.294297,22.957664
616,歸仁區許厝里,120.299356,22.965805
617,歸仁區辜厝里,120.290931,22.96369
618,歸仁區媽廟里,120.291764,23.000393
619,歸仁區新厝里,120.29197,22.962711
620,歸仁區歸仁里,120.305099,22.967735
621,歸仁區歸南里,120.279236,22.962274
622,關廟區下湖里,120.319194,22.980854
623,關廟區山西里,120.321585,22.966895
624,關廟區五甲里,120.331941,22.947027
625,關廟區北勢里,120.336574,22.970868
626,關廟區布袋里,120.338018,22.910542
627,關廟區東勢里,120.340083,22.95117
628,關廟區松腳里,120.342266,22.957392
629,關廟區花園里,120.3164402,22.941236
630,關廟區香洋里,120.330049,22.96107
631,關廟區埤頭里,120.315054,23.001128
632,關廟區深坑里,120.33583,22.93347
633,關廟區新光里,120.356541,22.980225
634,關廟區新埔里,120.331878,22.973738
635,關廟區龜洞里,120.344438,22.899127
636,關廟區關廟里,120.319642,22.957486
637,鹽水區三和里,120.4674459,23.093294
638,鹽水區三明里,120.2397336,23.262230
639,鹽水區文昌里,120.251587,23.30844
640,鹽水區月港里,120.2642135,23.321453
641,鹽水區水秀里,120.281536,23.325321
642,鹽水區竹林里,120.2925398,23.030423
643,鹽水區坔頭港里,120.24953,23.2547
644,鹽水區汫水里,120.27962,23.343498
645,鹽水區岸內里,120.266175,23.330758
646,鹽水區津城里,120.2646685,23.321439
647,鹽水區義中里,120.255678,23.327016
648,鹽水區橋南里,120.268414,23.31111
649,鹽水區歡雅里,120.235821,23.284804
