CODE1,TOWN,VILLAGE,COUNT,lat,lon,type,coordinates
A6729-03-007,關廟區,山西里,2,22.962448469,120.325881003,Polygon,"[[[120.327036116, 22.961539382], [120.32521217, 22.961774265], [120.325006253, 22.961816897], [120.324301128, 22.961962877], [120.324498297, 22.962186496], [120.324491989, 22.962662435], [120.324746236, 22.96279159], [120.324897638, 22.963548247], [120.325643882, 22.963270588], [120.326251281, 22.963186137], [120.326387808, 22.963097705], [120.3274197, 22.962822878], [120.327036116, 22.961539382]]]"
A6729-03-008,關廟區,關廟里,3,22.960764137,120.325824559,Polygon,"[[[120.326529608, 22.960166578], [120.326450772, 22.959553025], [120.326117289, 22.959619526], [120.32614333, 22.959764946], [120.325677852, 22.959853626], [120.32564182, 22.959717476], [120.324845472, 22.959895414], [120.324969563, 22.960350443], [120.324857711, 22.960545988], [120.325006253, 22.961816897], [120.32521217, 22.961774265], [120.327036116, 22.961539382], [120.326953463, 22.961270399], [120.326717795, 22.960751845], [120.326529608, 22.960166578]]]"
A6729-04-002,,,2,22.961783424,120.332390503,Polygon,"[[[120.332774465, 22.962431284], [120.332871723, 22.962346637], [120.333300016, 22.961270498], [120.332739892, 22.961259136], [120.332339388, 22.961368424], [120.331064392, 22.961776073], [120.332003693, 22.962135988], [120.332774465, 22.962431284]]]"
A6729-06-001,關廟區,香洋里,11,22.961641916,120.328586461,Polygon,"[[[120.32969634, 22.960455907], [120.328725695, 22.960758889], [120.326953463, 22.961270399], [120.327036116, 22.961539382], [120.3274197, 22.962822878], [120.328463678, 22.96250678], [120.329323839, 22.962269394], [120.330236223, 22.9620253], [120.329999033, 22.961283219], [120.32969634, 22.960455907]]]"
A6729-06-002,關廟區,香洋里,4,22.960265694,120.328475997,Polygon,"[[[120.330466496, 22.960218228], [120.330126953, 22.959277716], [120.329577202, 22.959428397], [120.32843269, 22.959728569], [120.327867976, 22.959918238], [120.326881727, 22.960101762], [120.326529608, 22.960166578], [120.326717795, 22.960751845], [120.326953463, 22.961270399], [120.328725695, 22.960758889], [120.32969634, 22.960455907], [120.330466496, 22.960218228]]]"
A6729-06-004,關廟區,香洋里,2,22.958819332,120.327195114,Polygon,"[[[120.32719419, 22.959451113], [120.32761925, 22.958599882], [120.328057572, 22.957599975], [120.327562203, 22.957454641], [120.327465765, 22.957737201], [120.327022175, 22.958636318], [120.326823108, 22.958580454], [120.32661792, 22.959519691], [120.326450772, 22.959553025], [120.326529608, 22.960166578], [120.326881727, 22.960101762], [120.32719419, 22.959451113]]]"
A6731-07-005,永康區,塩行里,3,23.041019485,120.242442844,Polygon,"[[[120.244186026, 23.041675723], [120.243887742, 23.040103374], [120.242016823, 23.040507422], [120.241193624, 23.04068683], [120.24048535, 23.040592444], [120.240435014, 23.04154411], [120.242244685, 23.041602445], [120.243034329, 23.041632239], [120.244186026, 23.041675723]]]"
A6731-07-008,永康區,塩行里,2,23.039675214,120.237191296,Polygon,"[[[120.238108452, 23.039350908], [120.237924669, 23.039300491], [120.237413632, 23.038815009], [120.2374176, 23.039118055], [120.236917921, 23.039443595], [120.236318385, 23.039919763], [120.2368115, 23.040422088], [120.237816177, 23.039625647], [120.238108452, 23.039350908]]]"
A6731-19-003,永康區,正強里,2,23.030698949,120.2500912,Polygon,"[[[120.249470619, 23.031466684], [120.249923296, 23.031264733], [120.250594269, 23.031075717], [120.250970645, 23.030975441], [120.250906909, 23.030783172], [120.250943998, 23.03026936], [120.24937279, 23.030108377], [120.249407178, 23.030830213], [120.249470619, 23.031466684]]]"
A6731-20-006,永康區,正強里,5,23.028623262,120.254790583,Polygon,"[[[120.255239056, 23.029548506], [120.255933077, 23.028965657], [120.255249473, 23.02857053], [120.255392281, 23.028197257], [120.253843432, 23.027838967], [120.253721882, 23.028339326], [120.254194703, 23.028702628], [120.255239056, 23.029548506]]]"
A6731-22-003,永康區,東橋里,2,23.023448969,120.247791982,Polygon,"[[[120.249336942, 23.026695902], [120.249380284, 23.025563721], [120.249438056, 23.02514248], [120.249594838, 23.024123563], [120.250004391, 23.022243045], [120.249605409, 23.022038289], [120.248972828, 23.021789229], [120.247070316, 23.021128375], [120.24592168, 23.020719974], [120.245860482, 23.021107672], [120.24607238, 23.021328648], [120.246016949, 23.021779372], [120.245869307, 23.02204668], [120.245798572, 23.023001336], [120.245572829, 23.023135253], [120.245414403, 23.023918488], [120.24790241, 23.025698307], [120.249336942, 23.026695902]]]"
